die,block,structure,material,timestamp,config,force_I_setting,v_measure,i_measure,smu_status
4,56,LW600,Ag,2025-01-07 12:38:19.345,LW600_N,-0.001000000,-0.04186233415556382,-0.00100008,N
4,56,LW600,Ag,2025-01-07 12:38:19.882,LW600_P,0.000500000,0.021625726535849963,0.00049998,N
4,56,LW600,Ag,2025-01-07 12:38:20.353,LW600_P,-0.000500000,-0.02146939800205055,-0.00050002,N
4,56,LW600,Ag,2025-01-07 12:38:20.845,LW600_P,0.001000000,0.041863687582530354,0.00099998,N
4,56,LW600,Ag,2025-01-07 12:38:21.315,LW600_P,-0.001000000,-0.04173984938267216,-0.00100008,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:23.812,GC20_L_R0_P,0.000500000,0.00028761536050435945,0.00049996,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:24.321,GC20_L_R0_P,-0.000500000,-0.00018901883087745893,-0.00050004,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:24.821,GC20_L_R0_P,0.001000000,0.0005259912688825704,0.00099998,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:25.308,GC20_L_R0_P,-0.001000000,-0.0004282526693316831,-0.00100006,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:25.831,GC20_L_R90_P,0.000500000,-0.00010044398316676455,0.00049996,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:26.297,GC20_L_R90_P,-0.000500000,-4.1473236767961825e-05,-0.00049998,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:26.795,GC20_L_R90_P,0.001000000,-0.00013152207745415455,0.00099998,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:27.273,GC20_L_R90_P,-0.001000000,-1.1912509812955176e-05,-0.00100006,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:27.814,GC20_L_R0_N,0.000500000,0.00021768560498548005,0.00049998,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:28.313,GC20_L_R0_N,-0.000500000,-0.000260038091428602,-0.00050002,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:28.780,GC20_L_R0_N,0.001000000,0.00045503743744605045,0.00099992,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:29.243,GC20_L_R0_N,-0.001000000,-0.0004988778848779049,-0.00100006,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:29.773,GC20_L_R90_N,0.000500000,4.831388745973842e-05,0.00049998,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:30.234,GC20_L_R90_N,-0.000500000,0.00010823445875846327,-0.00050002,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:30.707,GC20_L_R90_N,0.001000000,1.921998621018885e-05,0.00099994,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:31.204,GC20_L_R90_N,-0.001000000,0.00013833773275382792,-0.00100008,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:31.719,SC_P,0.000500000,0.021732315709681163,0.00049996,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:32.230,SC_P,-0.000500000,-0.021717701492045285,-0.00050002,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:32.703,SC_P,0.001000000,0.04114580742363,0.00099998,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:33.184,SC_P,-0.001000000,-0.041106634498094125,-0.00100008,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:33.747,SC_N,0.000500000,0.021581196509659496,0.00049998,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:34.216,SC_N,-0.000500000,-0.021636417212084227,-0.00050002,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:34.685,SC_N,0.001000000,0.04120513545710416,0.00099998,N
4,56,GC20_SC300,Ag,2025-01-07 12:38:35.144,SC_N,-0.001000000,-0.041031124888867496,-0.00100008,N
4,57,LW300,Pt,2025-01-07 12:38:37.616,LW300_P,0.000100000,0.006430344713975018,0.00010002,N
4,57,LW300,Pt,2025-01-07 12:38:38.109,LW300_P,-0.000100000,-0.00633459545357211,-0.00010004,N
4,57,LW300,Pt,2025-01-07 12:38:38.594,LW300_P,0.000500000,0.03194802435708854,0.00049996,N
4,57,LW300,Pt,2025-01-07 12:38:39.058,LW300_P,-0.000500000,-0.03185575754293248,-0.0005,N
4,57,LW300,Pt,2025-01-07 12:38:39.577,LW300_N,0.000100000,0.006358832162009132,9.998e-05,N
4,57,LW300,Pt,2025-01-07 12:38:40.082,LW300_N,-0.000100000,-0.006406147704101924,-0.00010004,N
4,57,LW300,Pt,2025-01-07 12:38:40.556,LW300_N,0.000500000,0.03187701832939204,0.00049996,N
4,57,LW300,Pt,2025-01-07 12:38:41.023,LW300_N,-0.000500000,-0.0319259196085662,-0.00050002,N
4,57,LW600,Pt,2025-01-07 12:38:43.466,LW600_N,0.000100000,0.01276392270805681,0.00010006,N
4,57,LW600,Pt,2025-01-07 12:38:43.937,LW600_N,-0.000100000,-0.012808885007498943,-0.00010002,N
4,57,LW600,Pt,2025-01-07 12:38:44.412,LW600_N,0.000500000,0.0638844251216905,0.00049996,N
4,57,LW600,Pt,2025-01-07 12:38:44.878,LW600_N,-0.000500000,-0.06393334477982944,-0.00050002,N
4,57,LW600,Pt,2025-01-07 12:38:45.395,LW600_P,0.000100000,0.012833271688288584,0.00010002,N
4,57,LW600,Pt,2025-01-07 12:38:45.862,LW600_P,-0.000100000,-0.012739674972240917,-0.00010002,N
4,57,LW600,Pt,2025-01-07 12:38:46.335,LW600_P,0.000500000,0.06395341755000551,0.00049996,N
4,57,LW600,Pt,2025-01-07 12:38:46.811,LW600_P,-0.000500000,-0.06386480741468244,-0.00050004,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:49.276,GC20_L_R0_P,0.000100000,0.00014209292283804014,0.00010006,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:49.769,GC20_L_R0_P,-0.000100000,-4.710381641850636e-05,-0.00010002,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:50.241,GC20_L_R0_P,0.000500000,0.0005212164138322652,0.00049996,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:50.719,GC20_L_R0_P,-0.000500000,-0.0004260214630071756,-0.00050004,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:51.238,GC20_L_R90_P,0.000100000,2.61098925275806e-05,0.00010006,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:51.720,GC20_L_R90_P,-0.000100000,-0.00016508500778004046,-0.00010002,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:52.219,GC20_L_R90_P,0.000500000,0.00040646183352781957,0.00049998,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:52.683,GC20_L_R90_P,-0.000500000,-0.0005462860569531974,-0.00050002,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:53.199,GC20_L_R0_N,0.000100000,7.323429338664255e-05,9.998e-05,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:53.690,GC20_L_R0_N,-0.000100000,-0.00011667702002061937,-0.00010006,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:54.160,GC20_L_R0_N,0.000500000,0.0004515961600803109,0.00049996,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:54.626,GC20_L_R0_N,-0.000500000,-0.000495712291983892,-0.0005,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:55.144,GC20_L_R90_N,0.000100000,0.00016993925995820283,0.00010002,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:55.611,GC20_L_R90_N,-0.000100000,-2.0363157819615247e-05,-0.00010002,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:56.092,GC20_L_R90_N,0.000500000,0.0005508624191838593,0.00049996,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:56.613,GC20_L_R90_N,-0.000500000,-0.0004014282026533871,-0.00050002,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:57.147,SC_P,0.000100000,0.006337377293681479,0.00010002,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:57.612,SC_P,-0.000100000,-0.006345451540489409,-0.00010006,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:58.096,SC_P,0.000500000,0.031690191741433754,0.00049998,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:58.564,SC_P,-0.000500000,-0.03170048175623577,-0.00050002,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:59.106,SC_N,0.000100000,0.006343529100773235,0.00010006,N
4,57,GC20_SC300,Pt,2025-01-07 12:38:59.586,SC_N,-0.000100000,-0.006339223276904161,-0.00010002,N
4,57,GC20_SC300,Pt,2025-01-07 12:39:00.068,SC_N,0.000500000,0.03169671921456565,0.00049998,N
4,57,GC20_SC300,Pt,2025-01-07 12:39:00.536,SC_N,-0.000500000,-0.03169408808196749,-0.00050004,N
4,57,LW300,Ag,2025-01-07 12:39:03.051,LW300_P,0.000500000,0.2509933165573264,0.00049996,N
4,57,LW300,Ag,2025-01-07 12:39:03.549,LW300_P,-0.000500000,-0.1776339090958895,-0.00049998,N
4,57,LW300,Ag,2025-01-07 12:39:04.035,LW300_P,0.001000000,0.357127392913146,0.00099998,N
4,57,LW300,Ag,2025-01-07 12:39:04.512,LW300_P,-0.001000000,-0.22594142875859674,-0.00100008,N
4,57,LW300,Ag,2025-01-07 12:39:05.031,LW300_N,0.000500000,0.13452654683391188,0.00049998,N
4,57,LW300,Ag,2025-01-07 12:39:05.497,LW300_N,-0.000500000,-0.24480681588817985,-0.00050008,N
4,57,LW300,Ag,2025-01-07 12:39:05.999,LW300_N,0.001000000,0.24756268719373464,0.00099998,N
4,57,LW300,Ag,2025-01-07 12:39:06.475,LW300_N,-0.001000000,-0.2405686200881207,-0.001,N
4,57,LW600,Ag,2025-01-07 12:39:08.900,LW600_N,0.000500000,0.0034678423214350973,0.00049998,N
4,57,LW600,Ag,2025-01-07 12:39:09.369,LW600_N,-0.000500000,-0.003515804067929617,-0.00050002,N
4,57,LW600,Ag,2025-01-07 12:39:09.881,LW600_N,0.001000000,0.006856106665999475,0.00099992,N
4,57,LW600,Ag,2025-01-07 12:39:10.350,LW600_N,-0.001000000,-0.006903823604683101,-0.00100006,N
4,57,LW600,Ag,2025-01-07 12:39:10.891,LW600_P,0.000500000,0.0035373795022662384,0.00049996,N
4,57,LW600,Ag,2025-01-07 12:39:11.365,LW600_P,-0.000500000,-0.003448677472119254,-0.0005,N
4,57,LW600,Ag,2025-01-07 12:39:11.869,LW600_P,0.001000000,0.006923986799365891,0.00099998,N
4,57,LW600,Ag,2025-01-07 12:39:12.338,LW600_P,-0.001000000,-0.00682892417708723,-0.00100008,N
4,57,GC20_SC300,Ag,2025-01-07 12:39:14.768,GC20_L_R0_P,0.000500000,0.003859378230084342,0.00049998,N
4,57,GC20_SC300,Ag,2025-01-07 12:39:15.237,GC20_L_R0_P,-0.000500000,-0.0037586056310272794,-0.00050002,N
4,57,GC20_SC300,Ag,2025-01-07 12:39:15.730,GC20_L_R0_P,0.001000000,0.007457579608082203,0.00099998,N
4,57,GC20_SC300,Ag,2025-01-07 12:39:16.204,GC20_L_R0_P,-0.001000000,-0.00023359443690058434,-0.00100008,N
4,57,GC20_SC300,Ag,2025-01-07 12:39:16.732,GC20_L_R90_P,0.000500000,0.004388986479235966,0.00049998,N
4,57,GC20_SC300,Ag,2025-01-07 12:39:17.200,GC20_L_R90_P,-0.000500000,-0.003689256650795504,-0.00050004,N
4,57,GC20_SC300,Ag,2025-01-07 12:39:17.675,GC20_L_R90_P,0.001000000,0.0065231496642198855,0.00099998,N
4,57,GC20_SC300,Ag,2025-01-07 12:39:18.159,GC20_L_R90_P,-0.001000000,-0.006647469392955358,-0.00100008,N
4,57,GC20_SC300,Ag,2025-01-07 12:39:18.695,GC20_L_R0_N,0.000500000,0.00045253348728418146,0.00049996,N
