die,block,x,y,block_row,block_column,in_block_row,in_block_column,block_idx_in_die,material,structure,design
1,64,15680.0,28870.0,6,15,1,1,64,unknown,cross_bridge,crossbridge2019
1,65,19807.5,28870.0,6,16,1,1,65,unknown,cross_bridge,crossbridge2019
1,66,23935.0,28870.0,6,17,1,1,66,unknown,cross_bridge,crossbridge2019
1,67,28062.5,28870.0,6,18,1,1,67,unknown,cross_bridge,crossbridge2019
1,68,32190.0,28870.0,6,19,1,1,68,unknown,cross_bridge,crossbridge2019
1,69,-33850.0,25720.0,7,3,1,1,69,unknown,cross_bridge,crossbridge2019
1,70,-29722.5,25720.0,7,4,1,1,70,unknown,cross_bridge,crossbridge2019
1,71,-25595.0,25720.0,7,5,1,1,71,unknown,cross_bridge,crossbridge2019
1,72,-21467.5,25720.0,7,6,1,1,72,unknown,cross_bridge,crossbridge2019
1,73,-17340.0,25720.0,7,7,1,1,73,unknown,cross_bridge,crossbridge2019
1,74,-13212.5,25720.0,7,8,1,1,74,unknown,cross_bridge,crossbridge2019
1,75,-9085.0,25720.0,7,9,1,1,75,unknown,cross_bridge,crossbridge2019
1,76,-4957.5,25720.0,7,10,1,1,76,unknown,cross_bridge,crossbridge2019
1,77,-830.0,25720.0,7,11,1,1,77,unknown,cross_bridge,crossbridge2019
1,78,3297.5,25720.0,7,12,1,1,78,unknown,cross_bridge,crossbridge2019
1,79,7425.0,25720.0,7,13,1,1,79,unknown,cross_bridge,crossbridge2019
1,80,11552.5,25720.0,7,14,1,1,80,unknown,cross_bridge,crossbridge2019
1,81,15680.0,25720.0,7,15,1,1,81,unknown,cross_bridge,crossbridge2019
1,82,19807.5,25720.0,7,16,1,1,82,unknown,cross_bridge,crossbridge2019
1,83,23935.0,25720.0,7,17,1,1,83,unknown,cross_bridge,crossbridge2019
1,84,28062.5,25720.0,7,18,1,1,84,unknown,cross_bridge,crossbridge2019
1,85,32190.0,25720.0,7,19,1,1,85,unknown,cross_bridge,crossbridge2019
1,86,-37977.5,22570.0,8,2,1,1,86,unknown,cross_bridge,crossbridge2019
1,87,-33850.0,22570.0,8,3,1,1,87,unknown,cross_bridge,crossbridge2019
1,88,-29722.5,22570.0,8,4,1,1,88,unknown,cross_bridge,crossbridge2019
1,89,-25595.0,22570.0,8,5,1,1,89,unknown,cross_bridge,crossbridge2019
1,90,-21467.5,22570.0,8,6,1,1,90,unknown,cross_bridge,crossbridge2019
1,91,-17340.0,22570.0,8,7,1,1,91,unknown,cross_bridge,crossbridge2019
1,92,-13212.5,22570.0,8,8,1,1,92,unknown,cross_bridge,crossbridge2019
1,93,-9085.0,22570.0,8,9,1,1,93,unknown,cross_bridge,crossbridge2019
1,94,-4957.5,22570.0,8,10,1,1,94,unknown,cross_bridge,crossbridge2019
1,95,-830.0,22570.0,8,11,1,1,95,unknown,cross_bridge,crossbridge2019
1,96,3297.5,22570.0,8,12,1,1,96,unknown,cross_bridge,crossbridge2019
1,97,7425.0,22570.0,8,13,1,1,97,unknown,cross_bridge,crossbridge2019
1,98,11552.5,22570.0,8,14,1,1,98,unknown,cross_bridge,crossbridge2019
1,99,15680.0,22570.0,8,15,1,1,99,unknown,cross_bridge,crossbridge2019
1,100,19807.5,22570.0,8,16,1,1,100,unknown,cross_bridge,crossbridge2019
1,101,23935.0,22570.0,8,17,1,1,101,unknown,cross_bridge,crossbridge2019
1,102,28062.5,22570.0,8,18,1,1,102,unknown,cross_bridge,crossbridge2019
1,103,32190.0,22570.0,8,19,1,1,103,unknown,cross_bridge,crossbridge2019
1,104,36317.5,22570.0,8,20,1,1,104,unknown,cross_bridge,crossbridge2019
1,105,-37977.5,19420.0,9,2,1,1,105,unknown,cross_bridge,crossbridge2019
1,106,-33850.0,19420.0,9,3,1,1,106,unknown,cross_bridge,crossbridge2019
1,107,-29722.5,19420.0,9,4,1,1,107,unknown,cross_bridge,crossbridge2019
1,108,-25595.0,19420.0,9,5,1,1,108,unknown,cross_bridge,crossbridge2019
1,109,-21467.5,19420.0,9,6,1,1,109,unknown,cross_bridge,crossbridge2019
1,110,-17340.0,19420.0,9,7,1,1,110,unknown,cross_bridge,crossbridge2019
