wafer_idx,die,block,block_idx_in_die,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column,event_counter,__pin_variation_object,__curr_variation_object
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.001,1.1354908759367677e-05,0.00099964,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,1e-05,1.0770089237948526e-07,9.93e-06,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,5e-05,3.933104260957389e-07,4.9999999999999996e-05,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0001,1.258593363506357e-06,0.00010003,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0005,5.304912214405306e-06,0.0004997199999999999,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.001,1.1441290021173748e-05,0.0009996599999999999,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,1e-05,-1.907739356483071e-07,9.94e-06,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,5e-05,7.454519103945371e-07,4.999e-05,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0001,1.1942668919486439e-06,0.00010003,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0005,5.7228504896117096e-06,0.00049974,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.001,1.1096867713461874e-05,0.0009996699999999998,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,1e-05,4.072784599196984e-07,9.95e-06,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,5e-05,4.903515031885152e-07,4.996e-05,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0001,1.0439267384223303e-06,0.00010001,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0005,5.7055742372504936e-06,0.00049974,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.001,1.1281392791873145e-05,0.00099967,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,1e-05,-3.675798374719059e-10,9.950000000000001e-06,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,5e-05,4.708697718024669e-07,5.002e-05,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0001,1.095755495505974e-06,0.00010001,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0005,5.472161040455361e-06,0.0004997000000000001,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.001,1.0972625728396119e-05,0.00099967,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,1e-05,1.13949749616528e-08,9.94e-06,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,5e-05,8.230112561012676e-07,4.9999999999999996e-05,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0001,9.608536951535102e-07,9.999e-05,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0005,5.608900739995186e-06,0.0004997199999999999,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.001,1.1446436138898366e-05,0.00099963,False,19,12,3,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,1e-05,-6.212099253287915e-08,9.93e-06,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,5e-05,3.9772138414541023e-07,4.998e-05,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0001,9.729838297901068e-07,0.00010004999999999999,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0005,5.515167881439662e-06,0.0004997300000000001,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.001,1.1342778624731077e-05,0.00099965,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,1e-05,2.834040546914154e-07,9.96e-06,False,19,12,4,structure,material
