die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008935250467923515,0.00100001,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.0004460667461780957,0.00050002,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008933867739414011,0.001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.00044651686843757244,0.00050002,False,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.9755929964143575,0.0001389,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.9755939466724608,0.00013889,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.9756129503635398,0.00013886999999999998,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.9756132019024495,0.00013888,True,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.002930547448103118,0.00100004,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.002773003186298492,0.0005,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.003966334664694529,0.00100003,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.0024414925551572196,0.00050002,False,1,3
