die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008929616584741175,0.00100004,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.0004460961659336171,0.0005,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008930837504595311,0.00100002,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.000446094694945841,0.0005,False,1,1
3,1,LW600,Ag,LW600,LW600,N,0.001,0.0020411661738759493,0.001,False,1,1
3,1,LW600,Ag,LW600,LW600,N,0.0005,0.0010186178472691482,0.0005000499999999999,False,1,1
3,1,LW600,Ag,LW600,LW600,P,0.001,0.002040267400344772,0.00100002,False,1,1
3,1,LW600,Ag,LW600,LW600,P,0.0005,0.0010185751886236422,0.00050002,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,P,0.001,-0.0004553560339839632,0.00100003,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,P,0.0005,-0.00022751620833661416,0.0005000499999999999,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,P,0.001,0.0005437682832767359,0.00100005,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,P,0.0005,0.00027211214474365844,0.00050001,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,N,0.001,-0.0004551971673041479,0.00100004,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,N,0.0005,-0.00022762064846871497,0.00050003,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,N,0.001,0.0005439183240298948,0.00100003,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,N,0.0005,0.0002717797015062671,0.00050004,False,1,1
3,1,GC20_SC300,Ag,SC300,SC,P,0.001,0.937771470619851,0.00013006999999999998,True,1,1
3,1,GC20_SC300,Ag,SC300,SC,P,0.0005,0.9377718060050639,0.00013009,True,1,1
3,1,GC20_SC300,Ag,SC300,SC,N,0.001,0.9378080452599151,0.00013007,True,1,1
3,1,GC20_SC300,Ag,SC300,SC,N,0.0005,0.937808223249436,0.00013008,True,1,1
