die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008927395393199314,0.00100004,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.00044602555852036577,0.00050003,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008931190541661567,0.00100001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.00044641537028102375,0.0004999900000000001,False,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.9755886393485647,0.00013887,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.9755897470023601,0.00013889,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.9755912076932217,0.00013889,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.9755926360223524,0.00013888,True,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.0028196187889220773,0.0010000500000000002,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.0017682729346231987,0.00050004,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.0034015165463422634,0.00100004,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.003004468996813848,0.0005,False,1,3
