die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008936103640833635,0.00100002,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.00044616824433464436,0.0005,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008936471387777651,0.00100001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.00044643743509766476,0.00050002,False,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.9755974402684289,0.00013885999999999998,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.9755977727116663,0.00013884,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.9755979227524194,0.00013889,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.9756002527970568,0.00013887,True,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.0032345226590641788,0.00100002,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.002768159223551901,0.00049996,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.0039322665878008005,0.00100001,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.002942952288018697,0.00050001,False,1,3
