die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008924880004102237,0.00100006,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.0004458093233172839,0.00050006,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008925453689334903,0.00100006,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.00044585492393834194,0.00050007,False,1,1
3,1,LW600,Ag,LW600,LW600,N,0.001,0.0020363310370560147,0.00100006,False,1,1
3,1,LW600,Ag,LW600,LW600,N,0.0005,0.0010164510822750004,0.00050004,False,1,1
3,1,LW600,Ag,LW600,LW600,P,0.001,0.0020364207673103547,0.0010000500000000002,False,1,1
3,1,LW600,Ag,LW600,LW600,P,0.0005,0.0010163201643629304,0.00050006,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,P,0.001,-0.00045494268641888816,0.00100006,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,P,0.0005,-0.00022762506143204317,0.00050002,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,P,0.001,0.0005444537635803835,0.00100006,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,P,0.0005,0.00027212979659697124,0.00050003,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,N,0.001,-0.00045483971727456343,0.00100004,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,N,0.0005,-0.00022739117437564838,0.00050006,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,N,0.001,0.0005446332240890637,0.00100007,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,N,0.0005,0.00027222982376574385,0.00050007,False,1,1
3,1,GC20_SC300,Ag,SC,SC,P,0.001,0.9381465842706505,0.00013016,True,1,1
3,1,GC20_SC300,Ag,SC,SC,P,0.0005,0.9381480331936098,0.00013013,True,1,1
3,1,GC20_SC300,Ag,SC,SC,N,0.001,0.9381817202846696,0.00013019,True,1,1
3,1,GC20_SC300,Ag,SC,SC,N,0.0005,0.9381800448295926,0.00013017,True,1,1
3,5,LW300,Ag,LW300,LW300,P,0.001,0.000740862993416494,0.00100006,False,1,5
3,5,LW300,Ag,LW300,LW300,P,0.0005,0.00037060801524137514,0.00050003,False,1,5
3,5,LW300,Ag,LW300,LW300,N,0.001,0.0007411733718372443,0.00100008,False,1,5
3,5,LW300,Ag,LW300,LW300,N,0.0005,0.0003705771244980777,0.00050004,False,1,5
3,5,LW600,Ag,LW600,LW600,N,0.001,0.005643890312179856,0.00100006,False,1,5
3,5,LW600,Ag,LW600,LW600,N,0.0005,0.0031445173300099247,0.00050004,False,1,5
3,5,LW600,Ag,LW600,LW600,P,0.001,0.005536087502022959,0.00100004,False,1,5
3,5,LW600,Ag,LW600,LW600,P,0.0005,0.002882244622500383,0.00050002,False,1,5
3,5,GC20_SC300,Ag,GC,GC20_L_R0,P,0.001,1.3418350493289505e-05,0.00100003,False,1,5
3,5,GC20_SC300,Ag,GC,GC20_L_R0,P,0.0005,6.591496224559336e-06,0.00050004,False,1,5
3,5,GC20_SC300,Ag,GC,GC20_L_R90,P,0.001,1.1519305274386112e-05,0.00100007,False,1,5
3,5,GC20_SC300,Ag,GC,GC20_L_R90,P,0.0005,5.7442072655443444e-06,0.00050004,False,1,5
3,5,GC20_SC300,Ag,GC,GC20_L_R0,N,0.001,1.3502196796525364e-05,0.00100005,False,1,5
3,5,GC20_SC300,Ag,GC,GC20_L_R0,N,0.0005,6.782724635448136e-06,0.0005000499999999999,False,1,5
3,5,GC20_SC300,Ag,GC,GC20_L_R90,N,0.001,1.1279534266887077e-05,0.00100004,False,1,5
3,5,GC20_SC300,Ag,GC,GC20_L_R90,N,0.0005,5.698606644486247e-06,0.00050006,False,1,5
3,5,GC20_SC300,Ag,SC,SC,P,0.001,0.0006218497854181852,0.00100003,False,1,5
3,5,GC20_SC300,Ag,SC,SC,P,0.0005,0.00031071527695100297,0.00050003,False,1,5
3,5,GC20_SC300,Ag,SC,SC,N,0.001,0.0006218056557849032,0.00100006,False,1,5
3,5,GC20_SC300,Ag,SC,SC,N,0.0005,0.00031073881275542,0.00050004,False,1,5
3,8,LW300,Ag,LW300,LW300,P,0.001,0.0043880962798486575,0.00099999,False,2,3
3,8,LW300,Ag,LW300,LW300,P,0.0005,0.0014989659635685016,0.00050006,False,2,3
3,8,LW300,Ag,LW300,LW300,N,0.001,0.0026123080686775288,0.00100007,False,2,3
3,8,LW300,Ag,LW300,LW300,N,0.0005,0.0015636335281799894,0.00050003,False,2,3
3,8,LW600,Ag,LW600,LW600,N,0.001,0.0010023472514780634,0.00100004,False,2,3
3,8,LW600,Ag,LW600,LW600,N,0.0005,0.000501116992709653,0.00050004,False,2,3
3,8,LW600,Ag,LW600,LW600,P,0.001,0.0010021839718349199,0.00100005,False,2,3
3,8,LW600,Ag,LW600,LW600,P,0.0005,0.0005011611223429351,0.0005000499999999999,False,2,3
3,8,GC20_SC300,Ag,GC,GC20_L_R0,P,0.001,9.58642733663316e-06,0.00100004,False,2,3
3,8,GC20_SC300,Ag,GC,GC20_L_R0,P,0.0005,4.7836522477721406e-06,0.00050004,False,2,3
3,8,GC20_SC300,Ag,GC,GC20_L_R90,P,0.001,1.0371934809053309e-05,0.00100006,False,2,3
3,8,GC20_SC300,Ag,GC,GC20_L_R90,P,0.0005,5.005771401958363e-06,0.00050002,False,2,3
3,8,GC20_SC300,Ag,GC,GC20_L_R0,N,0.001,9.496697082293032e-06,0.00100006,False,2,3
3,8,GC20_SC300,Ag,GC,GC20_L_R0,N,0.0005,4.773355333339667e-06,0.0005000499999999999,False,2,3
3,8,GC20_SC300,Ag,GC,GC20_L_R90,N,0.001,1.0293972456921722e-05,0.0010000500000000002,False,2,3
3,8,GC20_SC300,Ag,GC,GC20_L_R90,N,0.0005,5.086675729642085e-06,0.00050004,False,2,3
3,8,GC20_SC300,Ag,SC,SC,P,0.001,0.0008557221319351878,0.00100004,False,2,3
3,8,GC20_SC300,Ag,SC,SC,P,0.0005,0.0004279324088747332,0.00050006,False,2,3
3,8,GC20_SC300,Ag,SC,SC,N,0.001,0.0008560060325759689,0.00100008,False,2,3
3,8,GC20_SC300,Ag,SC,SC,N,0.0005,0.0004280883335789963,0.00050006,False,2,3
3,10,LW300,Ag,LW300,LW300,P,0.001,0.002543865949432651,0.001,False,2,5
3,10,LW300,Ag,LW300,LW300,P,0.0005,0.0014097373160600114,0.00050002,False,2,5
3,10,LW300,Ag,LW300,LW300,N,0.001,0.0025374259649490268,0.00100004,False,2,5
3,10,LW300,Ag,LW300,LW300,N,0.0005,0.0013672978477326822,0.00050003,False,2,5
3,10,LW600,Ag,LW600,LW600,N,0.001,0.003831149417086131,0.0010000500000000002,False,2,5
3,10,LW600,Ag,LW600,LW600,N,0.0005,0.001904417266261592,0.00050006,False,2,5
3,10,LW600,Ag,LW600,LW600,P,0.001,0.003879874416180597,0.00100004,False,2,5
3,10,LW600,Ag,LW600,LW600,P,0.0005,0.0019176576272339773,0.00050003,False,2,5
3,10,GC20_SC300,Ag,GC,GC20_L_R0,P,0.001,7.568232107868285e-06,0.0010000299999999998,False,2,5
3,10,GC20_SC300,Ag,GC,GC20_L_R0,P,0.0005,3.81427130334353e-06,0.00050001,False,2,5
3,10,GC20_SC300,Ag,GC,GC20_L_R90,P,0.001,7.602064826717842e-06,0.0010000299999999998,False,2,5
3,10,GC20_SC300,Ag,GC,GC20_L_R90,P,0.0005,3.7774966089418373e-06,0.0005000499999999999,False,2,5
3,10,GC20_SC300,Ag,GC,GC20_L_R0,N,0.001,7.862429663081823e-06,0.00100003,False,2,5
3,10,GC20_SC300,Ag,GC,GC20_L_R0,N,0.0005,3.824568217776004e-06,0.0005000499999999999,False,2,5
3,10,GC20_SC300,Ag,GC,GC20_L_R90,N,0.001,7.488798767960631e-06,0.00100007,False,2,5
3,10,GC20_SC300,Ag,GC,GC20_L_R90,N,0.0005,3.6406947457675427e-06,0.00050006,False,2,5
