die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.00089392956843077,0.001,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.0004466345474596579,0.00050002,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008943414450080691,0.00100001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.00044672721968955014,0.0004999900000000001,False,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.9756031506429756,0.00013884,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.975606530972885,0.00013882,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.9756075312445728,0.00013889000000000002,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.9756077004081669,0.00013888,True,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.002980110910229943,0.00100004,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.001809106084299062,0.0004999900000000001,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.0032165986730127937,0.001,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.002434930478688182,0.0005,False,1,3
