die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008935044529634864,0.001,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.0004461697153224205,0.0004999900000000001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008936162480344676,0.00100002,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.00044645508695097757,0.00050002,False,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.975610399670736,0.00013885999999999998,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.9756158349705686,0.00013887,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.9756184459738712,0.00013889,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.9756249256750247,0.00013888,True,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.0032093143415457067,0.00100004,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.0026486929513185632,0.0005,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.0038469610646910827,0.00100003,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.0025365124815400885,0.0004999900000000001,False,1,3
