die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008945885709544484,0.00100005,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.00044686255056494836,0.00050001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008949460209840329,0.00100001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.00044676987833505607,0.00050002,False,1,1
3,3,LW300,Ag,LW300,LW300,P,0.001,0.0029834971240904505,0.00100008,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.0018135308155294736,0.00050007,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.003197639111567057,0.00100004,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.0026810723342453654,0.0005000499999999999,False,1,3
3,4,LW300,Ag,LW300,LW300,P,0.001,0.0009295980800248596,0.00100005,False,1,4
3,4,LW300,Ag,LW300,LW300,P,0.0005,0.00046458501129101196,0.00050004,False,1,4
3,4,LW300,Ag,LW300,LW300,N,0.001,0.0009301438164897807,0.00100007,False,1,4
3,4,LW300,Ag,LW300,LW300,N,0.0005,0.00046497482305166984,0.00050002,False,1,4
3,5,LW300,Ag,LW300,LW300,P,0.001,0.0007433989763424348,0.00100002,False,1,5
3,5,LW300,Ag,LW300,LW300,P,0.0005,0.00037155974433249097,0.00050003,False,1,5
3,5,LW300,Ag,LW300,LW300,N,0.001,0.0007433724985624656,0.00100005,False,1,5
3,5,LW300,Ag,LW300,LW300,N,0.0005,0.00037172449496341057,0.00050001,False,1,5
