die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008933426443081191,0.00100001,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.00044620354804126997,0.0005,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008932646819559875,0.001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.00044630651718559474,0.0005,False,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.9755930199501619,0.00013895,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.9755946056749845,0.00013891,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.975595088158975,0.00013885999999999998,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.9755956294824766,0.00013888,True,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.0033199193834160126,0.0009999700000000002,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.0027461105877764225,0.00050003,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.0038131901273281204,0.00099993,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.0024647371039946417,0.0004999900000000001,False,1,3
