die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008933382313447908,0.00100002,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.00044613882457912303,0.00050004,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008934823881468455,0.00100001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.00044605497827588715,0.0005,False,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.9756192167714659,0.00013891,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.9756208142641907,0.00013883,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.9756216174235164,0.00013888,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.975622500016182,0.00013885999999999998,True,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.0032977648365206573,0.00099998,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.002400971254889883,0.00050001,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.0036796567989922473,0.00100004,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.0026962897027887857,0.00050001,False,1,3
