die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008940869641228092,0.00100004,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.0004467213357384458,0.0005,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008948048061575304,0.00100002,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.0004469066801982304,0.0005,False,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.9756094700064617,0.00013891,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.9756117014949179,0.00013887,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.9756118986072799,0.00013885,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.9756123899171971,0.00013883,True,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.003571733367837713,0.00100002,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.0026444212028168624,0.00050004,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.004220899396257475,0.0010000500000000002,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.0029820379042165912,0.00050002,False,1,3
