die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008928498634031363,0.00100002,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.0004460270295081419,0.0005,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008938560190419667,0.00100001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.0004464227252199041,0.00050001,False,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.9756001998414968,0.00013884,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.9756017105459429,0.00013885999999999998,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.9756015869829697,0.00013883,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.9756024857565009,0.00013887,True,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.0034147554363268724,0.00100004,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.0021684022035424765,0.0005,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.0036381308140738563,0.00100006,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.0030085171551735863,0.0005,False,1,3
