die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008937648177998504,0.001,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.00044635947274553316,0.0005,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008938148313842368,0.001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.00044651392646202027,0.0005,False,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.9755886216967113,0.0001389,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.9755912488808794,0.00013888,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.9755926345513645,0.00013884,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.9755923962513449,0.00013885,True,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.0033566676000377355,0.00100004,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.0024191717866431685,0.00050001,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.003599184941714688,0.0009999599999999998,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.0028625745739588055,0.00050002,False,1,3
