die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008938604320052949,0.00100002,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.0004465389332542134,0.0005,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008939325104063222,0.00100003,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.0004464992165842596,0.0005,False,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.9755949219373563,0.00013888,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.975598911256205,0.00013888,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.9756009721100793,0.00013889,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.9756015678601286,0.00013889,True,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.0038081843559261627,0.00100008,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.002750886885085314,0.0005000499999999999,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.003915289917877203,0.00100002,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.0028927342363315217,0.00050001,False,1,3
