die,block,pin_variation,curr_variation,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column,structure,material
3,1,,,SC,SC,P,0.001,0.008532863232767973,0.00100004,False,1,1,GC20_SC300,Pt_Ag
3,1,,,SC,SC,N,0.001,0.008531820302434741,0.00100005,False,1,1,GC20_SC300,Pt_Ag
3,1,,,GC,GC20_L_R0,P,0.0005,1.2953518356052112e-05,0.00050002,False,1,1,GC20_SC300,Pt_Ag
3,1,,,GC,GC20_L_R0,P,0.001,2.597911511313154e-05,0.00100003,False,1,1,GC20_SC300,Pt_Ag
3,1,,,GC,GC20_L_R90,P,0.0005,3.968136624720211e-05,0.00050001,False,1,1,GC20_SC300,Pt_Ag
3,1,,,GC,GC20_L_R90,P,0.001,7.903176024478899e-05,0.00100004,False,1,1,GC20_SC300,Pt_Ag
3,1,,,GC,GC20_L_R0,N,0.0005,1.2924098600530759e-05,0.00050001,False,1,1,GC20_SC300,Pt_Ag
3,1,,,GC,GC20_L_R0,N,0.001,2.608796820856055e-05,0.00100006,False,1,1,GC20_SC300,Pt_Ag
3,1,,,GC,GC20_L_R90,N,0.0005,3.9476898946328705e-05,0.00050002,False,1,1,GC20_SC300,Pt_Ag
3,1,,,GC,GC20_L_R90,N,0.001,7.909648370693596e-05,0.0010000299999999998,False,1,1,GC20_SC300,Pt_Ag
3,1,,,LW300,LW300,P,0.001,0.00229042505253062,0.00100006,False,1,1,LW300,Pt_Ag_Cl
3,1,,,LW300,LW300,N,0.001,0.0022906677655136713,0.00100002,False,1,1,LW300,Pt_Ag_Cl
3,1,,,LW600,LW600,N,0.001,0.0037835306007992678,0.00100004,False,1,1,LW600,Pt_Ag_Cl
3,1,,,LW600,LW600,P,0.001,0.00378305841372315,0.00100005,False,1,1,LW600,Pt_Ag_Cl
3,1,,,SC,SC,P,0.001,0.00860976353172524,0.00100007,False,1,1,GC20_SC300,Pt_Ag_Cl
3,1,,,SC,SC,N,0.001,0.008608155742086,0.00100005,False,1,1,GC20_SC300,Pt_Ag_Cl
3,1,,,GC,GC20_L_R0,P,0.0005,-0.00015548929188145951,0.0005,False,1,1,GC20_SC300,Pt_Ag_Cl
3,1,,,GC,GC20_L_R90,P,0.0005,-0.00017648764238482585,0.00050001,False,1,1,GC20_SC300,Pt_Ag_Cl
3,1,,,GC,GC20_L_R0,N,0.0005,-0.00015550988571032446,0.00050001,False,1,1,GC20_SC300,Pt_Ag_Cl
3,1,,,GC,GC20_L_R90,N,0.0005,-0.0001765214751036754,0.00050001,False,1,1,GC20_SC300,Pt_Ag_Cl
3,2,,,LW300,LW300,P,0.001,0.0693413620211556,0.00100003,False,1,2,LW300,Pt
3,2,,,LW300,LW300,N,0.001,0.06934130906559566,0.00100004,False,1,2,LW300,Pt
3,2,,,LW600,LW600,N,0.001,0.1389471311530838,0.00100007,False,1,2,LW600,Pt
3,2,,,LW600,LW600,P,0.001,0.1389470384808539,0.00100004,False,1,2,LW600,Pt
3,2,,,SC,SC,P,0.001,0.06875317137802939,0.00100002,False,1,2,GC20_SC300,Pt
3,2,,,SC,SC,N,0.001,0.06875332583174587,0.00100004,False,1,2,GC20_SC300,Pt
3,2,,,GC,GC20_L_R0,P,5e-05,5.116389682718653e-05,5e-05,False,1,2,GC20_SC300,Pt
3,2,,,GC,GC20_L_R90,P,5e-05,5.1221265350453175e-05,5e-05,False,1,2,GC20_SC300,Pt
3,2,,,GC,GC20_L_R0,N,5e-05,5.1265394983735204e-05,5.002e-05,False,1,2,GC20_SC300,Pt
3,2,,,GC,GC20_L_R90,N,5e-05,5.105651471953359e-05,5.002e-05,False,1,2,GC20_SC300,Pt
3,2,,,LW300,LW300,P,0.001,0.06947090014669166,0.00100004,False,1,2,LW300,Pt_Cl
3,2,,,LW300,LW300,N,0.001,0.06947082512631508,0.00100001,False,1,2,LW300,Pt_Cl
3,2,,,LW600,LW600,N,0.001,0.13875476713963186,0.00100003,False,1,2,LW600,Pt_Cl
3,2,,,LW600,LW600,P,0.001,0.13875490982544614,0.00100004,False,1,2,LW600,Pt_Cl
3,2,,,SC,SC,P,0.001,0.06891948861093047,0.00100003,False,1,2,GC20_SC300,Pt_Cl
3,2,,,SC,SC,N,0.001,0.0689192473689352,0.001,False,1,2,GC20_SC300,Pt_Cl
3,2,,,GC,GC20_L_R0,P,5e-05,5.1228620289333506e-05,5e-05,False,1,2,GC20_SC300,Pt_Cl
3,2,,,GC,GC20_L_R90,P,5e-05,5.1131535096113044e-05,5.002e-05,False,1,2,GC20_SC300,Pt_Cl
3,2,,,GC,GC20_L_R0,N,5e-05,5.1134477071665174e-05,5e-05,False,1,2,GC20_SC300,Pt_Cl
3,2,,,GC,GC20_L_R90,N,5e-05,5.11197671939045e-05,5e-05,False,1,2,GC20_SC300,Pt_Cl
3,2,,,LW300,LW300,P,0.001,0.9756564636529437,0.0001389,True,1,2,LW300,Ag
3,2,,,LW300,LW300,N,0.001,0.9756574330338881,0.00013891,True,1,2,LW300,Ag
3,2,,,LW600,LW600,N,0.001,0.991848280693681,6.534999999999999e-05,True,1,2,LW600,Ag
3,2,,,LW600,LW600,P,0.001,0.9918676741965208,6.534e-05,True,1,2,LW600,Ag
3,2,,,SC,SC,P,0.001,0.0007533310858064439,0.00100004,False,1,2,GC20_SC300,Ag
3,2,,,SC,SC,N,0.001,0.0007534105191463515,0.00100004,False,1,2,GC20_SC300,Ag
